"Step","openj9_triagerx_ensemble_u2c2_50_classes_last_dev_seed42 - val_acc","openj9_triagerx_ensemble_u2c2_50_classes_last_dev_seed42 - val_acc__MIN","openj9_triagerx_ensemble_u2c2_50_classes_last_dev_seed42 - val_acc__MAX","openj9_triagerx_ensemble_u3c1_50_classes_last_dev_seed42 - val_acc","openj9_triagerx_ensemble_u3c1_50_classes_last_dev_seed42 - val_acc__MIN","openj9_triagerx_ensemble_u3c1_50_classes_last_dev_seed42 - val_acc__MAX","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc__MIN","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc__MAX"
"0","0.02356020942408377","0.02356020942408377","0.02356020942408377","0.015706806282722512","0.015706806282722512","0.015706806282722512","0.06068601583113457","0.06068601583113457","0.06068601583113457"
"1","0.06544502617801047","0.06544502617801047","0.06544502617801047","0.04450261780104712","0.04450261780104712","0.04450261780104712","0.029023746701846966","0.029023746701846966","0.029023746701846966"
"2","0.03926701570680628","0.03926701570680628","0.03926701570680628","0.04712041884816754","0.04712041884816754","0.04712041884816754","0.026385224274406333","0.026385224274406333","0.026385224274406333"
"3","0.049738219895287955","0.049738219895287955","0.049738219895287955","0.034031413612565446","0.034031413612565446","0.034031413612565446","0.07651715039577836","0.07651715039577836","0.07651715039577836"
"4","0.05759162303664921","0.05759162303664921","0.05759162303664921","0.06544502617801047","0.06544502617801047","0.06544502617801047","0.08443271767810026","0.08443271767810026","0.08443271767810026"
"5","0.06544502617801047","0.06544502617801047","0.06544502617801047","0.07591623036649214","0.07591623036649214","0.07591623036649214","0.08970976253298153","0.08970976253298153","0.08970976253298153"
"6","0.11780104712041885","0.11780104712041885","0.11780104712041885","0.09162303664921466","0.09162303664921466","0.09162303664921466","0.09234828496042216","0.09234828496042216","0.09234828496042216"
"7","0.11780104712041885","0.11780104712041885","0.11780104712041885","0.06544502617801047","0.06544502617801047","0.06544502617801047","0.13192612137203166","0.13192612137203166","0.13192612137203166"
"8","0.16230366492146597","0.16230366492146597","0.16230366492146597","0.07853403141361257","0.07853403141361257","0.07853403141361257","0.1345646437994723","0.1345646437994723","0.1345646437994723"
"9","0.16753926701570682","0.16753926701570682","0.16753926701570682","0.13350785340314136","0.13350785340314136","0.13350785340314136","0.16358839050131926","0.16358839050131926","0.16358839050131926"
