"Step","cnn_roberta-base_u3_50_classes_last_dev_seed42 - val_acc","cnn_roberta-base_u3_50_classes_last_dev_seed42 - val_acc__MIN","cnn_roberta-base_u3_50_classes_last_dev_seed42 - val_acc__MAX","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc__MIN","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc__MAX","cnn_deberta-base_u3_50_classes_most_seed42 - val_acc","cnn_deberta-base_u3_50_classes_most_seed42 - val_acc__MIN","cnn_deberta-base_u3_50_classes_most_seed42 - val_acc__MAX"
"0","0.021108179419525065","0.021108179419525065","0.021108179419525065","0.06068601583113457","0.06068601583113457","0.06068601583113457","0.013192612137203167","0.013192612137203167","0.013192612137203167"
"1","0.06596306068601583","0.06596306068601583","0.06596306068601583","0.029023746701846966","0.029023746701846966","0.029023746701846966","0.005277044854881266","0.005277044854881266","0.005277044854881266"
"2","0.029023746701846966","0.029023746701846966","0.029023746701846966","0.026385224274406333","0.026385224274406333","0.026385224274406333","0.013192612137203167","0.013192612137203167","0.013192612137203167"
"3","0.036939313984168866","0.036939313984168866","0.036939313984168866","0.07651715039577836","0.07651715039577836","0.07651715039577836","0.05013192612137203","0.05013192612137203","0.05013192612137203"
"4","0.052770448548812667","0.052770448548812667","0.052770448548812667","0.08443271767810026","0.08443271767810026","0.08443271767810026","0.055408970976253295","0.055408970976253295","0.055408970976253295"
"5","0.055408970976253295","0.055408970976253295","0.055408970976253295","0.08970976253298153","0.08970976253298153","0.08970976253298153","0.04221635883905013","0.04221635883905013","0.04221635883905013"
"6","0.055408970976253295","0.055408970976253295","0.055408970976253295","0.09234828496042216","0.09234828496042216","0.09234828496042216","0.07387862796833773","0.07387862796833773","0.07387862796833773"
"7","0.10290237467018469","0.10290237467018469","0.10290237467018469","0.13192612137203166","0.13192612137203166","0.13192612137203166","0.09498680738786279","0.09498680738786279","0.09498680738786279"
"8","0.06860158311345646","0.06860158311345646","0.06860158311345646","0.1345646437994723","0.1345646437994723","0.1345646437994723","0.11081794195250659","0.11081794195250659","0.11081794195250659"
"9","0.0870712401055409","0.0870712401055409","0.0870712401055409","0.16358839050131926","0.16358839050131926","0.16358839050131926","0.09234828496042216","0.09234828496042216","0.09234828496042216"
"10","0.09762532981530343","0.09762532981530343","0.09762532981530343","0.16358839050131926","0.16358839050131926","0.16358839050131926","0.13984168865435356","0.13984168865435356","0.13984168865435356"
