"Step","cnn_roberta-base_u3_50_classes_last_dev_seed42 - val_acc","cnn_roberta-base_u3_50_classes_last_dev_seed42 - val_acc__MIN","cnn_roberta-base_u3_50_classes_last_dev_seed42 - val_acc__MAX","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc__MIN","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc__MAX","cnn_deberta-base_u3_50_classes_most_seed42 - val_acc","cnn_deberta-base_u3_50_classes_most_seed42 - val_acc__MIN","cnn_deberta-base_u3_50_classes_most_seed42 - val_acc__MAX"
"11","0.07387862796833773","0.07387862796833773","0.07387862796833773","0.19788918205804748","0.19788918205804748","0.19788918205804748","0.12928759894459102","0.12928759894459102","0.12928759894459102"
"12","0.11081794195250659","0.11081794195250659","0.11081794195250659","0.17678100263852242","0.17678100263852242","0.17678100263852242","0.12137203166226913","0.12137203166226913","0.12137203166226913"
"13","0.16094986807387862","0.16094986807387862","0.16094986807387862","0.22163588390501318","0.22163588390501318","0.22163588390501318","0.1266490765171504","0.1266490765171504","0.1266490765171504"
"14","0.15303430079155672","0.15303430079155672","0.15303430079155672","0.19788918205804748","0.19788918205804748","0.19788918205804748","0.15303430079155672","0.15303430079155672","0.15303430079155672"
"15","0.1266490765171504","0.1266490765171504","0.1266490765171504","0.22163588390501318","0.22163588390501318","0.22163588390501318","0.16094986807387862","0.16094986807387862","0.16094986807387862"
"16","0.14775725593667546","0.14775725593667546","0.14775725593667546","0.20052770448548812","0.20052770448548812","0.20052770448548812","0.158311345646438","0.158311345646438","0.158311345646438"
"17","0.18733509234828497","0.18733509234828497","0.18733509234828497","0.20052770448548812","0.20052770448548812","0.20052770448548812","0.1741424802110818","0.1741424802110818","0.1741424802110818"
"18","0.15567282321899736","0.15567282321899736","0.15567282321899736","0.22691292875989447","0.22691292875989447","0.22691292875989447","0.1820580474934037","0.1820580474934037","0.1820580474934037"
"19","0.14511873350923482","0.14511873350923482","0.14511873350923482","0.24538258575197888","0.24538258575197888","0.24538258575197888","0.1662269129287599","0.1662269129287599","0.1662269129287599"
"20","0.15303430079155672","0.15303430079155672","0.15303430079155672","0.2559366754617414","0.2559366754617414","0.2559366754617414","0.16094986807387862","0.16094986807387862","0.16094986807387862"
"21","0.16886543535620052","0.16886543535620052","0.16886543535620052","0.24274406332453827","0.24274406332453827","0.24274406332453827","0.19788918205804748","0.19788918205804748","0.19788918205804748"
"22","0.1741424802110818","0.1741424802110818","0.1741424802110818","0.2638522427440633","0.2638522427440633","0.2638522427440633","0.19788918205804748","0.19788918205804748","0.19788918205804748"
"23","0.1741424802110818","0.1741424802110818","0.1741424802110818","0.25065963060686014","0.25065963060686014","0.25065963060686014","0.20844327176781002","0.20844327176781002","0.20844327176781002"
"24","0.19788918205804748","0.19788918205804748","0.19788918205804748","0.25857519788918204","0.25857519788918204","0.25857519788918204","0.19261213720316622","0.19261213720316622","0.19261213720316622"
"25","0.1741424802110818","0.1741424802110818","0.1741424802110818","0.22955145118733508","0.22955145118733508","0.22955145118733508","0.17150395778364116","0.17150395778364116","0.17150395778364116"
"26","0.17678100263852242","0.17678100263852242","0.17678100263852242","0.25857519788918204","0.25857519788918204","0.25857519788918204","0.20580474934036938","0.20580474934036938","0.20580474934036938"
"27","0.20052770448548812","0.20052770448548812","0.20052770448548812","0.24010554089709762","0.24010554089709762","0.24010554089709762","0.19261213720316622","0.19261213720316622","0.19261213720316622"
"28","0.19525065963060687","0.19525065963060687","0.19525065963060687","0.26649076517150394","0.26649076517150394","0.26649076517150394","0.18733509234828497","0.18733509234828497","0.18733509234828497"
"29","0.18469656992084432","0.18469656992084432","0.18469656992084432","0.2559366754617414","0.2559366754617414","0.2559366754617414","0.19261213720316622","0.19261213720316622","0.19261213720316622"
"30","0.20580474934036938","0.20580474934036938","0.20580474934036938","0.2559366754617414","0.2559366754617414","0.2559366754617414","0.21108179419525067","0.21108179419525067","0.21108179419525067"
"31","0.21108179419525067","0.21108179419525067","0.21108179419525067","0.2559366754617414","0.2559366754617414","0.2559366754617414","0.20844327176781002","0.20844327176781002","0.20844327176781002"
"32","0.21372031662269128","0.21372031662269128","0.21372031662269128","0.2559366754617414","0.2559366754617414","0.2559366754617414","0.20580474934036938","0.20580474934036938","0.20580474934036938"
"33","0.21372031662269128","0.21372031662269128","0.21372031662269128","0.2612137203166227","0.2612137203166227","0.2612137203166227","0.20052770448548812","0.20052770448548812","0.20052770448548812"
"34","0.20580474934036938","0.20580474934036938","0.20580474934036938","0.26649076517150394","0.26649076517150394","0.26649076517150394","0.20844327176781002","0.20844327176781002","0.20844327176781002"
"35","0.21108179419525067","0.21108179419525067","0.21108179419525067","0.2612137203166227","0.2612137203166227","0.2612137203166227","0.21372031662269128","0.21372031662269128","0.21372031662269128"
"36","0.21635883905013192","0.21635883905013192","0.21635883905013192","0.25857519788918204","0.25857519788918204","0.25857519788918204","0.21899736147757257","0.21899736147757257","0.21899736147757257"
"37","0.20844327176781002","0.20844327176781002","0.20844327176781002","0.2638522427440633","0.2638522427440633","0.2638522427440633","0.20580474934036938","0.20580474934036938","0.20580474934036938"
"38","0.21108179419525067","0.21108179419525067","0.21108179419525067","0.26649076517150394","0.26649076517150394","0.26649076517150394","0.20580474934036938","0.20580474934036938","0.20580474934036938"
"39","0.21372031662269128","0.21372031662269128","0.21372031662269128","0.26649076517150394","0.26649076517150394","0.26649076517150394","0.21372031662269128","0.21372031662269128","0.21372031662269128"
