similarity_prediction_weight,time_decay_factor,direct_assignment_score,contribution_score,discussion_score,similarity_threshold,topk_issues,T1DL,T1Sim,T1Com,T3DL,T3Sim,T3Com,T5DL,T5Sim,T5Com,T10DL,T10Sim,T10Com,T20DL,T20Sim,T20Com
0.65,0.01,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.29023746701846964,0.31926121372031663,0.47229551451187335,0.48284960422163586,0.5329815303430079,0.5910290237467019,0.5883905013192612,0.6358839050131926,0.7282321899736148,0.7018469656992085,0.7493403693931399,0.899736147757256,0.8601583113456465,0.9155672823218998
0.65,0.02,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.29023746701846964,0.31398416886543534,0.47229551451187335,0.48021108179419525,0.5171503957783641,0.5910290237467019,0.5910290237467019,0.6306068601583114,0.7282321899736148,0.6965699208443272,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.03,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.29023746701846964,0.31398416886543534,0.47229551451187335,0.47493403693931396,0.5171503957783641,0.5910290237467019,0.5936675461741425,0.633245382585752,0.7282321899736148,0.6965699208443272,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.04,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2849604221635884,0.31398416886543534,0.47229551451187335,0.47229551451187335,0.5197889182058048,0.5910290237467019,0.5883905013192612,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.05,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2849604221635884,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5197889182058048,0.5910290237467019,0.5883905013192612,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.06,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2796833773087071,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5197889182058048,0.5910290237467019,0.5883905013192612,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.07,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2796833773087071,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5171503957783641,0.5910290237467019,0.5910290237467019,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.08,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2796833773087071,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5145118733509235,0.5910290237467019,0.5910290237467019,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.09,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2796833773087071,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5145118733509235,0.5910290237467019,0.5910290237467019,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.1,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2796833773087071,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5145118733509235,0.5910290237467019,0.5910290237467019,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
