similarity_prediction_weight,time_decay_factor,direct_assignment_score,contribution_score,discussion_score,similarity_threshold,T1DL,T1Sim,T1Com,T1Borda,T3DL,T3Sim,T3Com,T3Borda,T5DL,T5Sim,T5Com,T5Borda,T10DL,T10Sim,T10Com,T10Borda,T20DL,T20Sim,T20Com,T20Borda
0.25,0.001,0.5,1.5,0.1,0.0,0.32439678284182305,0.2975871313672922,0.353887399463807,0.3583556747095621,0.58266309204647,0.546916890080429,0.6148346738159071,0.6085790884718498,0.6827524575513851,0.644325290437891,0.710455764075067,0.6818588025022342,0.8123324396782842,0.7372654155495979,0.8284182305630027,0.774798927613941,0.9204647006255585,0.7846291331546024,0.9240393208221627,0.8882931188561215
0.25,0.001,0.5,1.5,0.1,0.05,0.32439678284182305,0.2975871313672922,0.353887399463807,0.3583556747095621,0.58266309204647,0.546916890080429,0.6148346738159071,0.6085790884718498,0.6827524575513851,0.644325290437891,0.710455764075067,0.6818588025022342,0.8123324396782842,0.7372654155495979,0.8284182305630027,0.774798927613941,0.9204647006255585,0.7846291331546024,0.9240393208221627,0.8882931188561215
0.25,0.001,0.5,1.5,0.1,0.1,0.32439678284182305,0.2975871313672922,0.353887399463807,0.3583556747095621,0.58266309204647,0.546916890080429,0.6148346738159071,0.6085790884718498,0.6827524575513851,0.644325290437891,0.710455764075067,0.6818588025022342,0.8123324396782842,0.7372654155495979,0.8284182305630027,0.774798927613941,0.9204647006255585,0.7846291331546024,0.9240393208221627,0.8882931188561215
0.25,0.001,0.5,1.5,0.1,0.15000000000000002,0.32439678284182305,0.2975871313672922,0.353887399463807,0.3583556747095621,0.58266309204647,0.546916890080429,0.6148346738159071,0.6085790884718498,0.6827524575513851,0.644325290437891,0.710455764075067,0.6818588025022342,0.8123324396782842,0.7372654155495979,0.8284182305630027,0.774798927613941,0.9204647006255585,0.7846291331546024,0.9240393208221627,0.8882931188561215
0.25,0.001,0.5,1.5,0.1,0.2,0.32439678284182305,0.2975871313672922,0.353887399463807,0.3583556747095621,0.58266309204647,0.546916890080429,0.6148346738159071,0.6085790884718498,0.6827524575513851,0.644325290437891,0.710455764075067,0.6818588025022342,0.8123324396782842,0.7372654155495979,0.8284182305630027,0.774798927613941,0.9204647006255585,0.7846291331546024,0.9240393208221627,0.8882931188561215
0.25,0.001,0.5,1.5,0.1,0.25,0.32439678284182305,0.2975871313672922,0.353887399463807,0.3583556747095621,0.58266309204647,0.546916890080429,0.6148346738159071,0.6085790884718498,0.6827524575513851,0.644325290437891,0.710455764075067,0.6818588025022342,0.8123324396782842,0.7372654155495979,0.8284182305630027,0.774798927613941,0.9204647006255585,0.7846291331546024,0.9240393208221627,0.8882931188561215
0.25,0.001,0.5,1.5,0.1,0.30000000000000004,0.32439678284182305,0.2975871313672922,0.353887399463807,0.3583556747095621,0.58266309204647,0.546916890080429,0.6148346738159071,0.6085790884718498,0.6827524575513851,0.644325290437891,0.710455764075067,0.6818588025022342,0.8123324396782842,0.7372654155495979,0.8284182305630027,0.774798927613941,0.9204647006255585,0.7846291331546024,0.9240393208221627,0.8882931188561215
0.25,0.001,0.5,1.5,0.1,0.35000000000000003,0.32439678284182305,0.2975871313672922,0.353887399463807,0.3583556747095621,0.58266309204647,0.546916890080429,0.6148346738159071,0.6085790884718498,0.6827524575513851,0.644325290437891,0.710455764075067,0.6818588025022342,0.8123324396782842,0.7372654155495979,0.8284182305630027,0.774798927613941,0.9204647006255585,0.7846291331546024,0.9240393208221627,0.8882931188561215
0.25,0.001,0.5,1.5,0.1,0.4,0.32439678284182305,0.2975871313672922,0.353887399463807,0.3583556747095621,0.58266309204647,0.546916890080429,0.6148346738159071,0.6085790884718498,0.6827524575513851,0.644325290437891,0.710455764075067,0.6818588025022342,0.8123324396782842,0.7372654155495979,0.8284182305630027,0.774798927613941,0.9204647006255585,0.7846291331546024,0.9240393208221627,0.8882931188561215
0.25,0.001,0.5,1.5,0.1,0.45,0.32439678284182305,0.2975871313672922,0.353887399463807,0.3574620196604111,0.58266309204647,0.5460232350312779,0.6148346738159071,0.6076854334226989,0.6827524575513851,0.6434316353887399,0.710455764075067,0.6809651474530831,0.8123324396782842,0.7363717605004468,0.8284182305630027,0.774798927613941,0.9204647006255585,0.7846291331546024,0.9240393208221627,0.8882931188561215
0.25,0.001,0.5,1.5,0.1,0.5,0.32439678284182305,0.2949061662198391,0.35031277926720283,0.354781054512958,0.58266309204647,0.5424486148346738,0.613941018766756,0.6067917783735478,0.6827524575513851,0.6416443252904379,0.710455764075067,0.680071492403932,0.8123324396782842,0.7363717605004468,0.8284182305630027,0.77390527256479,0.9204647006255585,0.7837354781054513,0.9240393208221627,0.8882931188561215
0.25,0.001,0.5,1.5,0.1,0.55,0.32439678284182305,0.29222520107238603,0.3512064343163539,0.3574620196604111,0.58266309204647,0.5424486148346738,0.613047363717605,0.6058981233243967,0.6827524575513851,0.6398570151921358,0.709562109025916,0.67828418230563,0.8123324396782842,0.7327971403038427,0.8284182305630027,0.773011617515639,0.9204647006255585,0.7819481680071493,0.9240393208221627,0.8882931188561215
